District,BEDSCODE,COUNTY_DESC
EAST WILLISTON UFSD,280402,NASSAU
EASTCHESTER UFSD,660301,WESTCHESTER
EASTPORT-SOUTH MANOR CSD,580912,SUFFOLK
EDEN CSD,141201,ERIE
EDGEMONT UFSD,660406,WESTCHESTER
EDINBURG COMMON SD,520601,SARATOGA
EDMESTON CSD,470501,OTSEGO
EDWARDS-KNOX CSD,513102,SAINT LAWRENCE
ELBA CSD,180901,GENESEE
ELDRED CSD,590801,SULLIVAN
ELLENVILLE CSD,622002,ULSTER
ELLICOTTVILLE CSD,409010,CATTARAUGUS
ELMIRA CITY SD,706000,CHEMUNG
ELMIRA HEIGHTS CSD,709020,CHEMUNG
ELMONT UFSD,280216,NASSAU
ELMSFORD UFSD,660409,WESTCHESTER
ELWOOD UFSD,580401,SUFFOLK
EVANS-BRANT CSD (LAKE SHORE),141401,ERIE
FABIUS-POMPEY CSD,420601,ONONDAGA
FAIRPORT CSD,261301,MONROE
FALCONER CSD,611010,CHAUTAUQUA
FALLSBURG CSD,590501,SULLIVAN
FARMINGDALE UFSD,280522,NASSAU
FAYETTEVILLE-MANLIUS CSD,421001,ONONDAGA
FILLMORE CSD,220010,ALLEGANY
FIRE ISLAND UFSD,580514,SUFFOLK
FISHERS ISLAND UFSD,581004,SUFFOLK
FLORAL PARK-BELLEROSE UFSD,280222,NASSAU
FLORIDA UFSD,442115,ORANGE
FONDA-FULTONVILLE CSD,270601,MONTGOMERY
FORESTVILLE CSD,615030,CHAUTAUQUA
FORT ANN CSD,640502,WASHINGTON
FORT EDWARD UFSD,640601,WASHINGTON
FORT PLAIN CSD,270701,MONTGOMERY
FRANKFORT-SCHUYLER CSD,210402,HERKIMER
FRANKLIN CSD,120701,DELAWARE
FRANKLIN SQUARE UFSD,280217,NASSAU
FRANKLINVILLE CSD,411010,CATTARAUGUS
FREDONIA CSD,622010,CHAUTAUQUA
FREEPORT UFSD,280209,NASSAU
FREWSBURG CSD,603010,CHAUTAUQUA
FRIENDSHIP CSD,216010,ALLEGANY
FRONTIER CSD,141604,ERIE
FULTON CITY SD,460500,OSWEGO
